Backscattered Energy
Energy (KeV)	Hits (Normalized)
0	0
0.0601202	0
0.12024	0
0.180361	0
0.240481	8.84095e-05
0.300601	0
0.360721	8.84095e-05
0.420842	0
0.480962	0.000176819
0.541082	8.84095e-05
0.601202	8.84095e-05
0.661323	8.84095e-05
0.721443	0
0.781563	0
0.841683	0
0.901804	8.84095e-05
0.961924	0
1.02204	8.84095e-05
1.08216	0
1.14228	0.000176819
1.2024	0.000176819
1.26253	0
1.32265	8.84095e-05
1.38277	8.84095e-05
1.44289	0.000176819
1.50301	0.000265229
1.56313	0.000265229
1.62325	0.000353638
1.68337	8.84095e-05
1.74349	0.000265229
1.80361	0.000176819
1.86373	0.000176819
1.92385	0.000442048
1.98397	0.000176819
2.04409	8.84095e-05
2.10421	0.000265229
2.16433	0.000176819
2.22445	0.000176819
2.28457	0.000176819
2.34469	0.000353638
2.40481	0.000265229
2.46493	0.000265229
2.52505	0.000265229
2.58517	8.84095e-05
2.64529	0.000442048
2.70541	0.000176819
2.76553	0.000176819
2.82565	0.000265229
2.88577	0.000265229
2.94589	0.000265229
3.00601	0
3.06613	0.000265229
3.12625	0.000530457
3.18637	8.84095e-05
3.24649	0.000176819
3.30661	0.000795686
3.36673	0.000265229
3.42685	0.000442048
3.48697	0.000707276
3.54709	0.000707276
3.60721	0.000530457
3.66733	0.000442048
3.72745	0.000530457
3.78758	0.000265229
3.8477	0.000442048
3.90782	0.000442048
3.96794	0.000618867
4.02806	0.000707276
4.08818	0.000884095
4.1483	0.000530457
4.20842	0.000884095
4.26854	0.000353638
4.32866	0.000884095
4.38878	0.000972505
4.4489	0.000707276
4.50902	0.000795686
4.56914	0.000265229
4.62926	0.000442048
4.68938	0.000530457
4.7495	0.000795686
4.80962	0.000530457
4.86974	0.000707276
4.92986	0.000530457
4.98998	0.000265229
5.0501	0.000618867
5.11022	0.000618867
5.17034	0.000530457
5.23046	0.000795686
5.29058	0.000530457
5.3507	0.00106091
5.41082	0.000972505
5.47094	0.000884095
5.53106	0.000972505
5.59118	0.000707276
5.6513	0.000707276
5.71142	0.000618867
5.77154	0.000618867
5.83166	0.000530457
5.89178	0.00132614
5.9519	0.000707276
6.01202	0.000530457
6.07214	0.00132614
6.13226	0.000795686
6.19238	0.000795686
6.25251	0.000884095
6.31263	0.000442048
6.37275	0.00114932
6.43287	0.000884095
6.49299	0.000972505
6.55311	0.000972505
6.61323	0.00132614
6.67335	0.000707276
6.73347	0.00159137
6.79359	0.000972505
6.85371	0.000795686
6.91383	0.00106091
6.97395	0.00123773
7.03407	0.00114932
7.09419	0.00132614
7.15431	0.00123773
7.21443	0.00114932
7.27455	0.00114932
7.33467	0.00106091
7.39479	0.00123773
7.45491	0.00123773
7.51503	0.0018566
7.57515	0.00150296
7.63527	0.000707276
7.69539	0.00114932
7.75551	0.00150296
7.81563	0.00176819
7.87575	0.00114932
7.93587	0.00141455
7.99599	0.00123773
